product_id,sku,group_name,entertainment,product_name,category,price_twd,currency,stock,release_date,image_url,thumbnail_url,description,official_licensed,limited_edition,preorder,rating,sold_count,weight_g,dimensions,country_of_origin,material,max_purchase_qty,shipping_days_estimate,tags,last_updated,status
1,BTS-00001,BTS,HYBE,BTS Official Poster,Poster,340,TWD,50,2018/1/3,https://cdn.example.com/HW3/BTS/1.jpg,https://cdn.example.com/HW3/BTS/1_thumb.jpg,官方海報，尺寸約 520×770 mm，厚磅銅版紙單面印刷，筒裝出貨。,TRUE,FALSE,FALSE,4.9,732,182,520×770 mm（筒裝）,KR,紙類,5,2,"poster,bts,official",2025/10/3,in_stock
2,BTS-00002,BTS,HYBE,BTS 1st Full Album,Album,920,TWD,122,2025/3/23,https://cdn.example.com/HW3/BTS/2.jpg,https://cdn.example.com/HW3/BTS/2_thumb.jpg,BTS 正版專輯，含 72p 寫真書、歌詞本、CD、隨機小卡 1 張（版本隨機）。,TRUE,FALSE,FALSE,4.8,73,451,180×250×25 mm,KR,紙類,2,7,"album,bts,official",2025/10/3,in_stock
3,BTS-00003,BTS,HYBE,BTS Hoodie,Apparel/Hoodie,1820,TWD,41,2020/7/20,https://cdn.example.com/HW3/BTS/3.jpg,https://cdn.example.com/HW3/BTS/3_thumb.jpg,官方周邊 Hoodie，80% 棉 / 20% 聚酯纖維，常規版型，建議冷水反面清洗。,TRUE,TRUE,TRUE,4.9,4965,290,依尺寸而定,KR,棉/聚酯纖維,3,2,"apparel,bts,official",2025/10/3,in_stock
4,BTS-00004,BTS,HYBE,BTS Special Photocard Pack,Photocard,800,TWD,156,2014/10/8,https://cdn.example.com/HW3/BTS/4.jpg,https://cdn.example.com/HW3/BTS/4_thumb.jpg,官方小卡套組，共 8 張，隨機成員與造型，採硬卡霧面膜。,TRUE,FALSE,FALSE,4.9,2982,128,55×85 mm（單張）,KR,紙類,2,7,"photocard,bts,official",2025/10/3,in_stock
5,BTS-00005,BTS,HYBE,BTS 1st Full Album,Album,590,TWD,86,2021/7/11,https://cdn.example.com/HW3/BTS/5.jpg,https://cdn.example.com/HW3/BTS/5_thumb.jpg,BTS 正版專輯，含 84p 寫真書、歌詞本、CD、隨機小卡 1 張（版本隨機）。,TRUE,FALSE,FALSE,4.3,2930,401,180×250×25 mm,KR,紙類,2,7,"album,bts,official",2025/10/3,in_stock
6,BTS-00006,BTS,HYBE,BTS 2nd Mini Album,Album,900,TWD,133,2016/8/31,https://cdn.example.com/HW3/BTS/6.jpg,https://cdn.example.com/HW3/BTS/6_thumb.jpg,BTS 正版專輯，含 96p 寫真書、歌詞本、CD、隨機小卡 1 張（版本隨機）。,TRUE,FALSE,FALSE,4.7,4582,475,180×250×25 mm,KR,紙類,2,7,"album,bts,official",2025/10/3,in_stock
7,BTS-00007,BTS,HYBE,BTS Official Light Stick Ver.1,Light Stick,1260,TWD,83,2021/12/31,https://cdn.example.com/HW3/BTS/7.jpg,https://cdn.example.com/HW3/BTS/7_thumb.jpg,BTS 官方應援棒 ，支援藍牙與演唱會同步，附收納袋與腕繩。 版本：ver. 1,TRUE,TRUE,FALSE,4.7,2597,430,105×105×250 mm,KR,塑膠/ABS,2,7,"light stick,bts,official",2025/10/3,in_stock
8,BTS-00008,BTS,HYBE,BTS Cap,Apparel/Cap,1070,TWD,50,2018/12/10,https://cdn.example.com/HW3/BTS/8.jpg,https://cdn.example.com/HW3/BTS/8_thumb.jpg,官方周邊 Cap，棉質，常規版型，建議冷水反面清洗。,TRUE,FALSE,FALSE,4.4,4808,253,依尺寸而定,KR,棉/聚酯纖維,5,6,"apparel,bts,official",2025/10/3,in_stock
9,BTS-00009,BTS,HYBE,BTS Official Light Stick Ver.2,Light Stick,2240,TWD,208,2015/1/15,https://cdn.example.com/HW3/BTS/9.jpg,https://cdn.example.com/HW3/BTS/9_thumb.jpg,BTS 官方應援棒 Ver.2，支援藍牙與演唱會同步，附收納袋與腕繩。,TRUE,TRUE,FALSE,4.7,3478,476,105×105×250 mm,KR,塑膠/ABS,1,5,"light stick,bts,official",2025/10/3,in_stock
10,BTS-00010,BTS,HYBE,BTS Official Light Stick Ver.4,Light Stick,1710,TWD,189,2013/4/5,https://cdn.example.com/HW3/BTS/10.jpg,https://cdn.example.com/HW3/BTS/10_thumb.jpg,BTS 官方應援棒 Ver.4，支援藍牙與演唱會同步，附收納袋與腕繩。,TRUE,FALSE,FALSE,4.6,2205,491,105×105×250 mm,KR,塑膠/ABS,3,2,"light stick,bts,official",2025/10/3,in_stock
